,id,suc,store_point,lon,lat
81,Danos,Primaria Progreso: sin detalles,POINT (-98.15429 18.961048) ,-98.15429,18.961048
82,Danos,"Centro de Integral de Servicios (CIS), Tepexi de Rodrguez: sin detalles",POINT (-97.9269104 18.5784204) ,-97.9269104,18.5784204
83,Danos,Ex Convento Franciscano: sin detalles,POINT (-97.73020150000002 18.8864014) ,-97.7302015,18.8864014
84,Danos,Universidad Politecnica de Amozoc: sin detalles,POINT (-98.04196530000002 19.0743368) ,-98.0419653,19.0743368
85,Danos,Iglesia de los Remedios: sin detalles,POINT (-98.30178699999999 19.058054) ,-98.301787,19.058054
86,Danos,Parroquia de San Pedro Cholula: sin detalles,POINT (-98.30634250000003 19.0636282) ,-98.3063425,19.0636282
87,Danos,Iglesia de San Miguelito: sin detalles,POINT (-98.3184685 19.0293809) ,-98.3184685,19.0293809
88,Danos,Convento de San Gabriel: sin detalles,POINT (-98.30463220000001 19.0622259) ,-98.3046322,19.0622259
89,Danos,Parroquia de Santa Mara de la Natividad: sin detalles,POINT (-98.43368929999997 18.909612) ,-98.4336893,18.909612
90,Danos,Ayuntamiento Constitucional de Atlixco: sin detalles,POINT (-98.43397329999999 18.9091843) ,-98.4339733,18.9091843
91,Danos,Ex-convento del Carmen: sin detalles,POINT (-98.43283529999997 18.9088008) ,-98.4328353,18.9088008
92,Danos,Iglesia de Santiago Apostol: sin detalles,POINT (-98.55347540000002 18.5452973) ,-98.5534754,18.5452973
93,Danos,Parroquia Divino Salvador: sin detalles,POINT (-98.09536809999997 19.0472208) ,-98.0953681,19.0472208
94,Danos,Altepexi: sin detalles,POINT (-97.29822239999999 18.3693599) ,-97.2982224,18.3693599
95,Danos,Hospital General de Acatlan: sin detalles,POINT (-98.05637589999998 18.1860514) ,-98.0563759,18.1860514
96,Danos,Centro Integral de Servicios Acatlan de Osorio: sin detalles,POINT (-98.0526681 18.1938026) ,-98.0526681,18.1938026
97,Danos,Centro Escolar Pdte. Lic. Benito Juarez: sin detalles,POINT (-98.0437571 18.2030203) ,-98.0437571,18.2030203
